name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
0552+032,J2000,05h52m50.101478s,"03d13'27.243150""",2,3.7cm,X,0.74,,,P,P,P,P
0552+032,J2000,05h52m50.101478s,"03d13'27.243150""",3,2cm,U,0.8,,,S,S,S,S
0552+032,J2000,05h52m50.101478s,"03d13'27.243150""",4,0.7cm,Q,0.4,,,W,W,W,W
0552+379,J2000,05h52m17.936879s,"37d54'25.281910""",0,20cm,L,0.32,,,X,X,X,X
0552+379,J2000,05h52m17.936879s,"37d54'25.281910""",1,6cm,C,0.34,,,X,X,X,X
0552+379,J2000,05h52m17.936879s,"37d54'25.281910""",2,3.7cm,X,0.37,,,X,X,X,X
0552+379,J2000,05h52m17.936879s,"37d54'25.281910""",3,2cm,U,0.46,,,S,S,S,S
0552+379,J2000,05h52m17.936879s,"37d54'25.281910""",4,0.7cm,Q,0.6,,,W,W,W,W
0552+192,J2000,05h52m25.8858s,"19d13'40.275""",0,3.7cm,X,0.12,,,W,W,W,W
0552+192,J2000,05h52m25.8858s,"19d13'40.275""",1,0.7cm,Q,0.14,,,W,W,W,W
0552+726,J2000,05h52m52.9972s,"72d40'45.129""",0,20cm,L,0.48,,,X,X,X,X
0552+726,J2000,05h52m52.9972s,"72d40'45.129""",1,6cm,C,0.29,,,X,X,X,
0552+726,J2000,05h52m52.9972s,"72d40'45.129""",2,3.7cm,X,0.21,,25.0,X,X,W,W
0547+273,J2000,05h47m34.148941s,"27d21'56.842400""",0,20cm,L,0.38,6.0,,W,W,W,C
0547+273,J2000,05h47m34.148941s,"27d21'56.842400""",1,6cm,C,0.6,,,S,S,S,S
0547+273,J2000,05h47m34.148941s,"27d21'56.842400""",2,3.7cm,X,0.66,,,S,S,S,S
0547+273,J2000,05h47m34.148941s,"27d21'56.842400""",3,2cm,U,0.6,,,S,S,S,S
0547+273,J2000,05h47m34.148941s,"27d21'56.842400""",4,0.7cm,Q,0.33,,,W,W,W,W
0554+356,J2000,05h54m09.5296s,"35d41'31.407""",0,0.7cm,Q,0.17,,,W,W,W,W
0555+398,J2000,05h55m30.805608s,"39d48'49.165000""",0,20cm,L,1.7,,,P,P,P,P
0555+398,J2000,05h55m30.805608s,"39d48'49.165000""",1,6cm,C,5.0,,,P,P,P,P
0555+398,J2000,05h55m30.805608s,"39d48'49.165000""",2,3.7cm,X,6.2,,,P,P,P,P
0555+398,J2000,05h55m30.805608s,"39d48'49.165000""",3,2cm,U,2.8,,,P,P,P,P
0555+398,J2000,05h55m30.805608s,"39d48'49.165000""",4,0.7cm,Q,2.5,,,S,S,S,S
0558+343,J2000,05h58m00.0891s,"34d18'48.373""",0,0.7cm,Q,0.1,,,W,W,W,W
0559+378,J2000,05h59m00.4527s,"37d49'55.517""",0,0.7cm,Q,0.18,,,W,W,W,W
0559+580,J2000,05h59m13.394183s,"58d04'03.446230""",0,20cm,L,0.36,,,X,X,X,X
0559+580,J2000,05h59m13.394183s,"58d04'03.446230""",1,6cm,C,0.35,,,S,S,S,S
0559+580,J2000,05h59m13.394183s,"58d04'03.446230""",2,3.7cm,X,0.5,,,S,S,S,S
0559+580,J2000,05h59m13.394183s,"58d04'03.446230""",3,2cm,U,0.25,,,W,W,W,W
0559+580,J2000,05h59m13.394183s,"58d04'03.446230""",4,0.7cm,Q,0.27,,,W,W,W,W
0559+238,J2000,05h59m32.033133s,"23d53'53.926900""",0,20cm,L,0.72,2.0,,S,S,S,C
0559+238,J2000,05h59m32.033133s,"23d53'53.926900""",1,6cm,C,1.05,,,P,P,P,P
0559+238,J2000,05h59m32.033133s,"23d53'53.926900""",2,3.7cm,X,0.95,,,P,P,P,P
0559+238,J2000,05h59m32.033133s,"23d53'53.926900""",3,2cm,U,0.8,,,S,S,S,S
