name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
0001+192,J2000,00h01m08.621563s,"19d14'33.801860""",0,0.7cm,Q,0.18,,,W,W,W,W
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",0,90cm,P,7.0,,7.0,X,S,S,S
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",1,20cm,L,2.2,,7.0,X,X,X,S
0004+462,J2000,00h04m16.127651s,"46d15'17.970010""",0,0.7cm,Q,0.12,,,W,W,W,W
0004+203,J2000,00h04m35.7576s,"20d19'42.249""",0,0.7cm,Q,0.21,,,W,W,W,W
0005+544,J2000,00h05m04.363531s,"54d28'24.926230""",0,2cm,U,0.48,,,S,S,S,S
0005+544,J2000,00h05m04.363531s,"54d28'24.926230""",1,0.7cm,Q,0.46,,,W,W,W,W
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",0,20cm,L,0.52,,,X,X,X,X
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",1,6cm,C,0.8,,,P,P,P,P
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",2,3.7cm,X,1.1,,,P,P,P,P
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",3,2cm,U,0.67,,,S,S,S,S
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",4,0.7cm,Q,0.8,,,S,S,S,S
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",0,20cm,L,1.6,45.0,,S,X,X,X
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",1,6cm,C,1.3,,,P,P,P,P
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",2,3.7cm,X,1.6,,,P,P,P,P
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",3,2cm,U,1.1,,,P,P,P,P
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",4,0.7cm,Q,1.5,,,S,S,S,S
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",0,90cm,P,12.0,,3.0,X,X,S,S
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",1,20cm,L,3.8,,3.0,X,X,X,S
0006+243,J2000,00h06m48.789395s,"24d22'36.392490""",0,0.7cm,Q,0.17,,,W,W,W,W
0008+117,J2000,00h08m00.8394s,"11d44'00.784""",0,0.7cm,Q,0.11,,,W,W,W,W
0008+686,J2000,00h08m33.471549s,"68d37'22.045040""",0,2cm,U,0.29,,,W,W,W,W
0008+686,J2000,00h08m33.471549s,"68d37'22.045040""",1,0.7cm,Q,0.27,,,W,W,W,W
0009+064,J2000,00h09m03.9327s,"06d28'21.238""",0,0.7cm,Q,0.32,,,W,W,W,W
0009+400,J2000,00h09m04.173595s,"40d01'46.704740""",0,0.7cm,Q,0.13,,,W,W,W,W
0010+207,J2000,00h10m28.7425s,"20d47'49.713""",0,0.7cm,Q,0.11,,,W,W,W,W
0010+109,J2000,00h10m31.005888s,"10d58'29.504120""",0,20cm,L,0.06,,,X,X,X,X
0010+109,J2000,00h10m31.005888s,"10d58'29.504120""",1,6cm,C,0.27,,,W,W,W,W
0010+109,J2000,00h10m31.005888s,"10d58'29.504120""",2,3.7cm,X,0.44,,,S,S,S,S
0010+109,J2000,00h10m31.005888s,"10d58'29.504120""",3,2cm,U,0.35,,,W,W,W,W
0010+109,J2000,00h10m31.005888s,"10d58'29.504120""",4,0.7cm,Q,1.9,,,S,S,S,S
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",0,20cm,L,0.9,15.0,,P,S,X,X
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",1,6cm,C,0.98,,,P,P,P,P
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",2,3.7cm,X,0.95,,,P,P,P,P
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",3,2cm,U,0.7,,,S,S,S,S
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",4,0.7cm,Q,0.5,,,W,W,W,W
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",0,20cm,L,4.1,,100.0,P,P,P,P
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",1,6cm,C,1.25,,100.0,X,S,P,P
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",2,3.7cm,X,0.58,,100.0,X,X,S,S
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",3,2cm,U,0.25,,100.0,X,X,X,X
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",4,0.7cm,Q,0.0,,,X,X,X,X
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",0,20cm,L,0.5,6.0,,S,S,S,X
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",1,6cm,C,0.8,,,P,P,P,P
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",2,3.7cm,X,0.44,,,S,S,S,S
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",3,2cm,U,0.7,,,S,S,S,S
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",4,0.7cm,Q,0.2,,,W,W,W,W
0011+707,J2000,00h11m31.902830s,"70d45'31.625550""",0,2cm,U,0.5,,,S,S,S,S
0011+707,J2000,00h11m31.902830s,"70d45'31.625550""",1,0.7cm,Q,0.3,,,W,W,W,W
0011+083,J2000,00h11m35.269651s,"08d23'55.587470""",0,0.7cm,Q,0.42,,,W,W,W,W
0012-399,J2000,00h12m59.9080s,"-39d54'25.836""",0,6cm,C,1.5,,,P,P,P,P
0012-399,J2000,00h12m59.9080s,"-39d54'25.836""",1,3.7cm,X,1.6,,,P,P,P,P
0012-399,J2000,00h12m59.9080s,"-39d54'25.836""",2,1.3cm,K,1.2,,,P,P,P,P
0013+466,J2000,00h13m16.488891s,"46d36'08.670150""",0,0.7cm,Q,0.12,,,W,W,W,W
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",0,20cm,L,1.0,,6.0,X,X,X,X
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",1,6cm,C,0.8,,,X,X,X,X
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",2,3.7cm,X,0.67,200.0,,S,X,X,X
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",3,2cm,U,0.7,,,S,S,S,X
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",4,1.3cm,K,0.81,,,S,S,S,X
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",5,0.7cm,Q,0.5,,,W,W,W,W
0013+191,J2000,00h13m56.376087s,"19d10'41.914910""",0,0.7cm,Q,0.18,,,W,W,W,W
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",0,90cm,P,9.0,0.7,6.0,X,S,S,X
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",1,20cm,L,3.85,,6.0,X,X,S,P
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",2,6cm,C,1.85,6.0,,X,X,X,S
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",3,3.7cm,X,1.2,,10.0,X,X,X,S
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",4,2cm,U,0.9,,,X,X,S,S
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",5,0.7cm,Q,0.6,,,X,X,X,W
0016-002,J2000,00h16m11.088554s,"-00d15'12.445280""",0,20cm,L,0.85,7.5,,P,P,S,X
0016-002,J2000,00h16m11.088554s,"-00d15'12.445280""",1,6cm,C,0.62,,,P,P,P,P
0016-002,J2000,00h16m11.088554s,"-00d15'12.445280""",2,3.7cm,X,0.56,,,P,P,P,P
0016-002,J2000,00h16m11.088554s,"-00d15'12.445280""",3,0.7cm,Q,0.34,,,W,W,W,W
0017+815,J2000,00h17m08.474953s,"81d35'08.136330""",0,20cm,L,0.7,6.0,,S,S,S,C
0017+815,J2000,00h17m08.474953s,"81d35'08.136330""",1,6cm,C,1.05,,,P,P,P,P
0017+815,J2000,00h17m08.474953s,"81d35'08.136330""",2,3.7cm,X,1.1,,,P,P,P,P
0017+815,J2000,00h17m08.474953s,"81d35'08.136330""",3,2cm,U,0.6,,,S,S,S,S
0017+815,J2000,00h17m08.474953s,"81d35'08.136330""",4,0.7cm,Q,0.2,,,W,W,W,W
0017+532,J2000,00h17m51.759893s,"53d12'19.121000""",0,2cm,U,0.6,,,S,S,S,S
0017+532,J2000,00h17m51.759893s,"53d12'19.121000""",1,0.7cm,Q,0.4,,,W,W,W,W
0018-127,J2000,00h18m51.4001s,"-12d42'33.214""",0,90cm,P,9.0,,6.0,X,S,S,S
0018-127,J2000,00h18m51.4001s,"-12d42'33.214""",1,20cm,L,2.2,,6.0,X,X,X,S
0019+203,J2000,00h19m37.854504s,"20d21'45.644610""",0,2cm,U,1.1,,,P,P,P,P
0019+203,J2000,00h19m37.854504s,"20d21'45.644610""",1,0.7cm,Q,0.5,,,W,W,W,W
0019+260,J2000,00h19m39.780587s,"26d02'52.278760""",0,0.7cm,Q,0.17,,,W,W,W,W
0019+734,J2000,00h19m45.786427s,"73d27'30.017450""",0,20cm,L,1.0,20.0,,P,S,X,X
0019+734,J2000,00h19m45.786427s,"73d27'30.017450""",1,6cm,C,1.3,,,P,P,P,P
0019+734,J2000,00h19m45.786427s,"73d27'30.017450""",2,3.7cm,X,1.48,,,P,P,P,P
0019+734,J2000,00h19m45.786427s,"73d27'30.017450""",3,2cm,U,1.4,,,P,P,P,P
0019+734,J2000,00h19m45.786427s,"73d27'30.017450""",4,0.7cm,Q,0.8,,,S,S,S,S
0020+156,J2000,00h20m25.3180s,"15d40'52.700""",0,90cm,P,10.0,,1.5,X,X,S,S
0020+156,J2000,00h20m25.3180s,"15d40'52.700""",1,20cm,L,2.1,,1.5,X,X,X,S
0021+732,J2000,00h21m27.375060s,"73d12'41.931880""",0,20cm,L,0.73,10.0,,S,S,X,X
0021+732,J2000,00h21m27.375060s,"73d12'41.931880""",1,6cm,C,0.4,,,S,S,S,X
0021+732,J2000,00h21m27.375060s,"73d12'41.931880""",2,3.7cm,X,0.2,,,S,S,S,X
0021+732,J2000,00h21m27.375060s,"73d12'41.931880""",3,0.7cm,Q,0.0,,,X,X,X,X
0022+454,J2000,00h22m06.611333s,"45d25'33.860090""",0,0.7cm,Q,0.13,,,W,W,W,W
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",0,20cm,L,2.7,,,P,P,P,P
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",1,6cm,C,1.1,,300.0,S,P,P,P
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",2,3.7cm,X,0.64,,300.0,X,P,P,P
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",3,2cm,U,0.35,,300.0,X,X,X,X
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",4,0.7cm,Q,0.0,,300.0,X,X,X,X
0022+061,J2000,00h22m32.441226s,"06d08'04.268930""",0,20cm,L,0.37,6.0,,S,S,X,X
0022+061,J2000,00h22m32.441226s,"06d08'04.268930""",1,6cm,C,0.54,,,S,S,S,S
0022+061,J2000,00h22m32.441226s,"06d08'04.268930""",2,3.7cm,X,0.78,,,P,P,P,P
0022+061,J2000,00h22m32.441226s,"06d08'04.268930""",3,2cm,U,0.5,,,S,S,S,S
0022+061,J2000,00h22m32.441226s,"06d08'04.268930""",4,0.7cm,Q,0.3,,,W,W,W,W
0024+467,J2000,00h24m21.5387s,"46d44'06.236""",0,0.7cm,Q,0.33,,,W,W,W,W
0024+246,J2000,00h24m27.3320s,"24d39'26.300""",0,0.7cm,Q,0.16,,,W,W,W,W
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",0,20cm,L,2.8,,,P,P,P,P
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",1,6cm,C,1.7,,,P,P,P,P
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",2,3.7cm,X,0.94,,600.0,P,P,P,P
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",3,2cm,U,0.4,,600.0,X,S,S,S
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",4,0.7cm,Q,0.0,,,X,X,X,X
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",0,20cm,L,0.84,60.0,,S,X,X,X
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",1,6cm,C,0.81,60.0,,S,S,X,X
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",2,3.7cm,X,0.54,,,S,S,S,S
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",3,2cm,U,0.6,,,S,S,S,S
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",4,0.7cm,Q,0.4,,,W,W,W,W
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",0,90cm,P,20.0,,,S,S,S,S
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",1,20cm,L,8.3,,30.0,X,S,P,P
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",2,6cm,C,3.5,,30.0,X,X,S,P
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",3,3.7cm,X,1.93,,30.0,X,X,S,S
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",4,2cm,U,1.5,,30.0,X,X,X,S
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",5,0.7cm,Q,0.36,,,W,W,W,W
0026+351,J2000,00h26m41.724582s,"35d08'42.276320""",0,20cm,L,0.85,,,X,X,X,X
0026+351,J2000,00h26m41.724582s,"35d08'42.276320""",1,6cm,C,0.48,200.0,,S,X,X,X
0026+351,J2000,00h26m41.724582s,"35d08'42.276320""",2,3.7cm,X,0.29,200.0,,S,X,X,X
0026+351,J2000,00h26m41.724582s,"35d08'42.276320""",3,0.7cm,Q,0.0,,,X,X,X,X
0027+094,J2000,00h27m05.7947s,"09d29'57.752""",0,0.7cm,Q,0.11,,,W,W,W,W
0027+226,J2000,00h27m15.371536s,"22d41'58.068950""",0,0.7cm,Q,0.12,,,W,W,W,W
0028+200,J2000,00h28m29.818489s,"20d00'26.744480""",0,0.7cm,Q,0.16,,,W,W,W,W
0029+349,J2000,00h29m14.242456s,"34d56'32.246560""",0,20cm,L,1.89,,,P,P,P,P
0029+349,J2000,00h29m14.242456s,"34d56'32.246560""",1,6cm,C,1.85,,,P,P,P,P
0029+349,J2000,00h29m14.242456s,"34d56'32.246560""",2,3.7cm,X,0.96,,,P,P,P,P
0029+349,J2000,00h29m14.242456s,"34d56'32.246560""",3,2cm,U,0.6,,,S,S,S,S
0029+349,J2000,00h29m14.242456s,"34d56'32.246560""",4,1.3cm,K,0.58,,,S,S,S,S
0029+349,J2000,00h29m14.242456s,"34d56'32.246560""",5,0.7cm,Q,0.36,,,W,W,W,W
0029+059,J2000,00h29m45.8964s,"05d54'40.695""",0,0.7cm,Q,0.51,,,S,S,S,S
0030+706,J2000,00h30m14.4164s,"70d37'40.042""",0,0.7cm,Q,0.6,,,W,W,W,W
0034+279,J2000,00h34m43.486188s,"27d54'25.721670""",0,0.7cm,Q,0.14,,,W,W,W,W
0035-200,J2000,00h35m08.7836s,"-20d03'59.664""",0,90cm,P,9.0,,7.0,X,S,S,S
0035-200,J2000,00h35m08.7836s,"-20d03'59.664""",1,20cm,L,1.9,,7.0,X,X,S,S
0036+145,J2000,00h36m35.1101s,"14d34'03.629""",0,0.7cm,Q,0.11,,,W,W,W,W
0037+111,J2000,00h37m26.041410s,"11d09'50.920900""",0,0.7cm,Q,0.1,,,W,W,W,W
0038+416,J2000,00h38m24.843610s,"41d37'06.000570""",0,20cm,L,0.73,10.0,,S,S,S,X
0038+416,J2000,00h38m24.843610s,"41d37'06.000570""",1,6cm,C,0.95,,,P,P,P,P
0038+416,J2000,00h38m24.843610s,"41d37'06.000570""",2,3.7cm,X,1.14,,,P,P,P,P
0038+416,J2000,00h38m24.843610s,"41d37'06.000570""",3,2cm,U,1.3,,,P,P,P,P
0038+416,J2000,00h38m24.843610s,"41d37'06.000570""",4,0.7cm,Q,0.37,,,W,W,W,W
0038+505,J2000,00h38m28.4136s,"50d35'25.823""",0,0.7cm,Q,0.17,,,W,W,W,W
0038-213,J2000,00h38m29.954721s,"-21d20'04.022270""",0,20cm,L,0.78,10.0,,S,S,X,X
0038-213,J2000,00h38m29.954721s,"-21d20'04.022270""",1,6cm,C,0.34,,200.0,S,S,S,S
0038-213,J2000,00h38m29.954721s,"-21d20'04.022270""",2,3.7cm,X,0.22,,200.0,X,S,S,S
0039+141,J2000,00h39m39.6197s,"14d11'57.558""",0,0.7cm,Q,0.13,,,W,W,W,W
0039+490,J2000,00h39m46.9995s,"49d00'33.180""",0,0.7cm,Q,0.12,,,W,W,W,W
0040+014,J2000,00h40m13.5252s,"01d25'46.303""",0,0.7cm,Q,0.12,,,W,W,W,W
0040+331,J2000,00h40m55.0596s,"33d10'08.267""",0,90cm,P,10.0,1.5,4.0,X,S,S,X
0040+331,J2000,00h40m55.0596s,"33d10'08.267""",1,20cm,L,3.2,,4.0,X,X,X,P
0040-017,J2000,00h40m57.611582s,"-01d46'32.025620""",0,20cm,L,0.75,45.0,,S,X,X,X
0040-017,J2000,00h40m57.611582s,"-01d46'32.025620""",1,6cm,C,0.6,,,P,P,S,S
0040-017,J2000,00h40m57.611582s,"-01d46'32.025620""",2,3.7cm,X,0.57,,,P,P,P,P
0040-017,J2000,00h40m57.611582s,"-01d46'32.025620""",3,0.7cm,Q,0.58,,,W,W,W,W
0042+233,J2000,00h42m04.545183s,"23d20'01.061290""",0,20cm,L,0.78,10.0,,P,P,X,X
0042+233,J2000,00h42m04.545183s,"23d20'01.061290""",1,6cm,C,0.85,,,P,P,P,P
0042+233,J2000,00h42m04.545183s,"23d20'01.061290""",2,3.7cm,X,1.18,,,P,P,P,P
0042+233,J2000,00h42m04.545183s,"23d20'01.061290""",3,2cm,U,0.7,,,S,S,S,S
0042+233,J2000,00h42m04.545183s,"23d20'01.061290""",4,0.7cm,Q,0.4,,,W,W,W,W
0042-442,J2000,00h42m09.4222s,"-44d14'15.581""",0,90cm,P,13.0,1.0,3.0,X,X,S,S
0042-442,J2000,00h42m09.4222s,"-44d14'15.581""",1,20cm,L,3.5,,3.0,X,X,X,S
0042+571,J2000,00h42m19.451772s,"57d08'36.585690""",0,2cm,U,0.7,,,S,S,S,S
0042+571,J2000,00h42m19.451772s,"57d08'36.585690""",1,0.7cm,Q,0.8,,,S,S,S,S
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",0,90cm,P,7.0,1.0,6.0,X,S,S,X
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",1,20cm,L,2.45,,6.0,X,X,S,P
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",2,6cm,C,1.2,,6.0,X,X,X,S
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",3,0.7cm,Q,0.0,,,X,X,X,X
0044+663,J2000,00h44m41.2563s,"66d18'41.105""",0,90cm,P,7.0,1.0,7.0,X,S,S,X
0044+663,J2000,00h44m41.2563s,"66d18'41.105""",1,20cm,L,1.7,,7.0,X,X,S,S
0046+249,J2000,00h46m07.8292s,"24d56'32.607""",0,0.7cm,Q,0.66,,,S,S,S,S
0047+245,J2000,00h47m43.8754s,"24d35'16.073""",0,0.7cm,Q,0.24,,,W,W,W,W
0047+569,J2000,00h47m00.4314s,"56d57'42.392""",0,0.7cm,Q,0.12,,,W,W,W,W
0048+319,J2000,00h48m47.141497s,"31d57'25.085100""",0,0.7cm,Q,0.48,,,W,W,W,W
0049+514,J2000,00h49m37.9901s,"51d28'13.700""",0,0.7cm,Q,0.23,,,W,W,W,W
0049+026,J2000,00h49m43.235929s,"02d37'03.778200""",0,2cm,U,0.5,,,S,S,S,S
0049+026,J2000,00h49m43.235929s,"02d37'03.778200""",1,0.7cm,Q,0.5,,,W,W,W,W
0050-094,J2000,00h50m41.317390s,"-09d29'05.210210""",0,20cm,L,1.1,60.0,,S,X,X,X
0050-094,J2000,00h50m41.317390s,"-09d29'05.210210""",1,6cm,C,1.12,,,P,P,P,P
0050-094,J2000,00h50m41.317390s,"-09d29'05.210210""",2,3.7cm,X,1.28,,,P,P,P,P
0050-094,J2000,00h50m41.317390s,"-09d29'05.210210""",3,2cm,U,1.7,,,P,P,P,P
0050-094,J2000,00h50m41.317390s,"-09d29'05.210210""",4,0.7cm,Q,1.4,,,S,S,S,S
0051-068,J2000,00h51m08.209796s,"-06d50'02.228140""",0,20cm,L,0.83,,,X,X,X,X
0051-068,J2000,00h51m08.209796s,"-06d50'02.228140""",1,6cm,C,0.58,,25.0,X,X,S,S
0051-068,J2000,00h51m08.209796s,"-06d50'02.228140""",2,3.7cm,X,0.72,,40.0,X,X,P,P
0051-068,J2000,00h51m08.209796s,"-06d50'02.228140""",3,0.7cm,Q,0.79,,,,S,S,S
0054-035,J2000,00h54m08.4465s,"-03d33'55.363""",0,90cm,P,9.0,,16.0,S,S,S,S
0054-035,J2000,00h54m08.4465s,"-03d33'55.363""",1,20cm,L,2.2,,16.0,X,X,S,S
0054+681,J2000,00h54m17.6237s,"68d11'11.175""",0,0.7cm,Q,0.18,,,W,W,W,W
0054+708,J2000,00h54m17.6884s,"70d53'56.625""",0,0.7cm,Q,0.14,,,W,W,W,W
0056+164,J2000,00h56m55.294159s,"16d25'13.338960""",0,2cm,U,0.9,,,S,S,S,S
0056+164,J2000,00h56m55.294159s,"16d25'13.338960""",1,0.7cm,Q,1.1,,,S,S,S,S
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",0,20cm,L,0.4,50.0,,S,X,X,X
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",1,6cm,C,0.59,40.0,,P,S,X,X
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",2,3.7cm,X,0.64,30.0,,P,P,S,X
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",3,2cm,U,0.7,,,S,S,S,S
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",4,0.7cm,Q,0.6,,,W,W,W,W
0058+063,J2000,00h58m33.8058s,"06d20'06.084""",0,0.7cm,Q,0.25,,,W,W,W,W
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",0,20cm,L,2.5,,,P,P,P,P
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",1,6cm,C,1.35,,200.0,S,P,P,P
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",2,3.7cm,X,0.96,,200.0,X,S,P,P
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",3,2cm,U,0.7,,200.0,X,X,S,S
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",4,0.7cm,Q,0.42,,,W,W,W,W
0059-170,J2000,00h59m06.6845s,"-17d00'38.522""",0,20cm,L,1.7,,2.0,X,X,X,S
0059+582,J2000,00h59m52.2209s,"58d12'23.581""",0,3.7cm,X,0.28,,,,,W,W
0059+582,J2000,00h59m52.2209s,"58d12'23.581""",1,0.7cm,Q,0.23,,,,,W,W
0100+681,J2000,01h00m51.663538s,"68d08'20.534910""",0,2cm,U,0.6,,,S,S,S,S
0100+681,J2000,01h00m51.663538s,"68d08'20.534910""",1,0.7cm,Q,0.3,,,W,W,W,W
0101+166,J2000,01h01m57.7197s,"16d39'40.956""",0,0.7cm,Q,0.12,,,W,W,W,W
0102+584,J2000,01h02m45.762384s,"58d24'11.136620""",0,20cm,L,0.94,,,P,P,P,P
0102+584,J2000,01h02m45.762384s,"58d24'11.136620""",1,6cm,C,1.2,,,P,P,P,P
0102+584,J2000,01h02m45.762384s,"58d24'11.136620""",2,3.7cm,X,2.7,,,P,P,P,P
0102+584,J2000,01h02m45.762384s,"58d24'11.136620""",3,2cm,U,2.3,,,P,P,P,P
0102+584,J2000,01h02m45.762384s,"58d24'11.136620""",4,0.7cm,Q,2.4,,,S,S,S,S
0103+154,J2000,01h03m26.0022s,"15d26'24.675""",0,0.7cm,Q,0.1,,,W,W,W,W
0105+483,J2000,01h05m49.928164s,"48d19'03.192580""",0,20cm,L,0.7,60.0,,S,X,X,X
0105+483,J2000,01h05m49.928164s,"48d19'03.192580""",1,6cm,C,0.95,,,P,P,P,P
0105+483,J2000,01h05m49.928164s,"48d19'03.192580""",2,3.7cm,X,0.8,,,P,P,P,P
0105+483,J2000,01h05m49.928164s,"48d19'03.192580""",3,2cm,U,0.6,,,S,S,S,S
0105+483,J2000,01h05m49.928164s,"48d19'03.192580""",4,0.7cm,Q,0.3,,,W,W,W,W
0106-405,J2000,01h06m45.107966s,"-40d34'19.960360""",0,20cm,L,0.75,60.0,,S,X,X,X
0106-405,J2000,01h06m45.107966s,"-40d34'19.960360""",1,6cm,C,3.25,,,P,P,P,P
0106-405,J2000,01h06m45.107966s,"-40d34'19.960360""",2,3.7cm,X,3.05,,,P,P,P,P
0106-405,J2000,01h06m45.107966s,"-40d34'19.960360""",3,2cm,U,5.1,,,P,P,P,P
0106-405,J2000,01h06m45.107966s,"-40d34'19.960360""",4,0.7cm,Q,2.5,,,S,S,S,S
0107+132,J2000,01h07m45.9616s,"13d12'05.194""",0,0.7cm,Q,0.11,,,W,W,W,W
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",0,20cm,L,3.3,,9.0,X,X,S,P
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",1,6cm,C,1.9,,,S,S,S,S
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",2,3.7cm,X,2.05,300.0,,S,S,S,S
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",3,2cm,U,4.5,,,S,S,S,S
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",4,0.7cm,Q,1.2,,,S,S,S,S
0109+615,J2000,01h09m46.3390s,"61d33'30.450""",0,3.7cm,X,0.44,,,,,S,S
0109+615,J2000,01h09m46.3390s,"61d33'30.450""",1,0.7cm,Q,0.4,,,W,W,W,W
0110+680,J2000,01h10m12.873407s,"68d05'41.218500""",0,2cm,U,0.4,20.0,,W,W,W,X
0110+680,J2000,01h10m12.873407s,"68d05'41.218500""",1,0.7cm,Q,0.3,,,W,W,W,W
0110-076,J2000,01h10m50.020945s,"-07d41'41.113690""",0,20cm,L,0.9,6.0,,S,S,S,X
0110-076,J2000,01h10m50.020945s,"-07d41'41.113690""",1,6cm,C,0.78,,,P,P,P,P
0110-076,J2000,01h10m50.020945s,"-07d41'41.113690""",2,3.7cm,X,0.73,,,P,P,P,P
0110-076,J2000,01h10m50.020945s,"-07d41'41.113690""",3,2cm,U,0.4,,,S,S,S,S
0110-076,J2000,01h10m50.020945s,"-07d41'41.113690""",4,0.7cm,Q,0.38,,,W,W,W,W
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",0,20cm,L,1.9,,,P,P,S,S
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",1,6cm,C,0.85,,200.0,X,S,P,P
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",2,3.7cm,X,0.53,,200.0,X,S,P,P
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",3,2cm,U,0.3,,200.0,X,X,S,S
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",4,0.7cm,Q,0.11,,,W,W,W,W
0111+391,J2000,01h11m37.316982s,"39d06'28.104300""",0,20cm,L,0.46,10.0,,S,S,X,X
0111+391,J2000,01h11m37.316982s,"39d06'28.104300""",1,6cm,C,1.25,,,P,P,P,P
0111+391,J2000,01h11m37.316982s,"39d06'28.104300""",2,3.7cm,X,0.88,,,P,P,P,P
0111+391,J2000,01h11m37.316982s,"39d06'28.104300""",3,2cm,U,0.51,,,S,S,S,S
0111+391,J2000,01h11m37.316982s,"39d06'28.104300""",4,0.7cm,Q,0.1,,,W,W,W,W
0112+227,J2000,01h12m05.824718s,"22d44'38.786190""",0,20cm,L,0.43,30.0,,S,X,X,X
